韻	字	簡化字	推導音	校正音	註	字頻
e	巤		lie1			0
ang	赯		tang2			0
o	鸌		wo1			0
an	愞		nuan4			0
an	愞		rhuan3			0
o	愞		nuo4			0
u	嚧		lu2			0
au	醩		zau1			0
u	猪		zhu1			0
ou	嘼		xou4			0
ou	恈		miou2			0
o	叕		zhuo1			0
i	燩		qi1			0
o	燩		quo1			0
en	煾		en1			0
a	稏		ya4			0
an	劔		jan4			0
an	梘		jan4			0
i	暜		ti4			0
en	頣		shen3			0
ou	阧		dou3			0
ui	攱		gui3			0
ui	攱		gui4			0
u	婏		fu4			0
en	扟		shen1			0
i	癧		li1			0
ui	詯		hui4			0
ing	鹷		ling2			0
au	丂		kau3			0
u	璑		wu2			0
ui	嘒		hui4			0
o	邩		huo3			0
e	圼		nie1			0
a	歄		gua1			0
i	畐		pi1			0
u	畐		fu2			0
ang	軭		kuang1			0
ang	軭		kuang2			0
o	嗻		zheo4			0
ung	叿		hung1			0
ai	灾		zai1			0
iu	榘		ju3			0
u	蔛		hu2			0
e	餣		ye1			0
an	辬		ban1			0
iu	戵		qu2			0
ui	鞼		gui1			0
ui	鞼		gui4			0
o	擆		zhuo1			0
a	聉		wa1			0
a	聉		zhua1			0
i	聉		yi1			0
ui	聉		tui3			0
in	兓		zin1			0
iu	黢		ciu1			0
e	澁		she1			0
u	榅		wu1			0
ou	鰌		ciou1			0
ou	鰌		ciou2			0
ui	龡		chui1			0
an	媣		gan1			0
ai	眦		zhai4			0
iung	焪		qung1			0
iung	焪		qung4			0
a	葜		qa1			0
ang	跭		xang2			0
ing	鯹		sing1			0
in	搇		qin4			0
y	螆		cy4			0
an	鮎		nian2			0
an	傔		qan4			0
an	鐧		jan4			0
i	愵		ni1			0
e	淂		de1			0
ing	靑		cing1			0
ang	勨		siang4			0
ang	勨		yang3			0
in	陻		yin1			0
au	娎		xau4			0
e	娎		xe1			0
an	訮		xan1			0
a	唼		sha1			0
e	唼		zie1			0
ung	鏓		cung1			0
e	噦	哕	yue1			0
ui	噦	哕	hui4			0
ui	鍨		kui2			0
o	礏		eo1			0
i	垐		zi2			0
y	垐		cy2			0
in	衅		xin4			0
ang	軖		kuang2			0
o	畧		liuo1			0
au	婹		yau3			0
au	閙		nau4			0
eng	膡		sheng4			0
ing	膡		ying4			0
y	趩		chy1			0
au	癄		zhau4			0
au	癄		ziau4			0
an	俕		san4			0
an	兖		yuan3			0
ui	鑘		lui2			0
ui	鑘		lui3			0
e	驜		ye1			0
u	嵞		tu2			0
o	懡		muo3			0
u	畮		mu3			0
un	稇		kun3			0
a	颰		fa1			0
o	颰		buo2			0
au	宲		bau3			0
i	靅		fi4			0
an	秆		gan3			0
a	摣		na2			0
an	磰		shan4			0
i	炁		qi4			0
eng	抍		sheng1			0
eng	抍		zheng3			0
an	瞯		xan2			0
au	夰		gau3			0
au	夰		hau4			0
au	弴		diau1			0
un	弴		dun1			0
an	囅	冁	chan3			0
ing	竝		bing4			0
u	属		zhu1			0
u	属		shu2			0
an	埯		an3			0
an	埯		yan3			0
i	穲		li2			0
e	諽		ge1			0
e	諽		ke1			0
i	洓		ci1			0
i	娝		bi3			0
e	憠		jue2			0
a	磆		hua2			0
i	苢		yi3			0
iu	珬		siu1			0
u	靯		du4			0
ung	鐄		hung2			0
i	嬆		xi1			0
e	鸈		ye1			0
u	傗		chu1			0
o	莡		cuo1			0
ai	愢		sai1			0
an	欦		xan1			0
an	欦		qan3			0
an	欦		xan3			0
ou	犫		chou1			0
e	餲		ye4			0
i	餲		yi4			0
o	餲		eo1			0
o	餲		heo2			0
an	叁		san1			0
ang	牀		chuang2			0
i	啚		bi3			0
u	啚		tu2			0
i	彞		yi2			0
ou	葤		zhou4			0
an	蹨		rhan3			0
an	蹨		nian3			0
an	哯		xan4			0
au	覒		mau4			0
ing	夝		cing2			0
ai	溨		cai2			0
iung	焭		qung2			0
an	壜		tan2			0
o	晣		zheo1			0
o	豿		xuo1			0
ou	豿		gou3			0
an	纉		zuan3			0
e	鼈		bie1			0
ou	蒥		liou2			0
u	憷		chu3			0
o	殻		quo1			0
o	涿		zhuo1			0
u	幞		fu2			0
an	擥		lan3			0
i	厀		si1			0
e	鬛		lie1			0
ou	丩		jou1			0
u	墲		pu1			0
u	墲		mu2			0
u	墲		wu2			0
u	簵		lu4			0
o	覼		luo2			0
ang	亾		wang2			0
an	煗		nuan3			0
y	鋖		sy1			0
ing	楧		ying1			0
au	鍫		ciau1			0
an	婱		xan2			0
iun	齳		yun3			0
an	屵		yan3			0
o	屵		eo1			0
o	屵		yuo1			0
ou	疁		liou2			0
un	圂		hun4			0
in	訔		yin2			0
o	嚗		buo1			0
a	猚		ya2			0
ui	猚		lui3			0
e	洦		me1			0
e	洦		pe1			0
u	覩		du3			0
i	欪		xi1			0
u	欪		chu1			0
ai	嘬		chuai4			0
an	檿		yan3			0
i	嗁		ti2			0
an	黇		tian1			0
e	裓		ge1			0
au	奞		siau1			0
in	奞		sin4			0
iun	奞		siun4			0
ui	奞		sui1			0
ai	槩		gai4			0
au	鷱		gau1			0
e	鮊		be2			0
a	膎		xa2			0
iu	騟		yu2			0
iun	耣		liun3			0
e	懎		she1			0
ang	僘		chang3			0
o	駞		tuo2			0
iun	竴		ciun1			0
au	嘂		jau4			0
ou	沑		rhou3			0
iu	沑		niu1			0
y	勅		chy1			0
ai	擡		tai2			0
e	雭		she1			0
ang	灮		guang1			0
y	髵		el2			0
an	㐁		tan4			0
an	㐁		tian4			0
e	焃		hue1			0
a	攋		la1			0
eng	肎		keng3			0
ou	稵		ziou1			0
y	稵		zy1			0
au	彇		siau1			0
y	豑		zhy2			0
y	睗		shy1			0
au	鋚		tiau2			0
u	筟		fu1			0
ung	鍯		cung1			0
u	唂		gu1			0
iu	弆		ju3			0
iu	弆		qu3			0
?	箉		?			0
ai	夊		chuai1			0
ui	夊		sui1			0
un	螡		wun2			0
a	溻		ta1			0
ang	癀		huang2			0
an	摌		shan3			0
e	湐		be1			0
ing	聤		ting2			0
ou	駵		liou2			0
ing	嚀	咛	ning2			0
a	傄		xa1			0
au	趒		tiau1			0
au	趒		tiau2			0
au	趒		tiau4			0
au	粜		tiau4			0
e	頟		e1			0
y	悤		sy1			0
an	秊		nian2			0
au	轑		lau3			0
o	繛		chuo1			0
an	硟		sian1			0
an	硟		chan4			0
ing	觪		sing1			0
ing	奵		ding3			0
ang	吂		mang2			0
ang	吂		mang4			0
an	撍		zan1			0
an	撍		zan3			0
an	撍		zan4			0
en	撍		zhen1			0
o	溑		suo3			0
iun	喗		yun3			0
ang	誩		jang4			0
an	誩		tan4			0
ing	誩		jing4			0
ing	箳		bing1			0
ing	箳		ping2			0
ui	澻		sui4			0
iun	耺		yun2			0
o	囁	嗫	rheo1			0
o	囁	嗫	zheo1			0
a	敌		hua2			0
e	曡		die2			0
an	櫩		yan2			0
ung	埫		chung3			0
ai	黱		dai4			0
o	飵		zuo2			0
u	飵		zu4			0
i	俻		bi4			0
an	冄		rhan2			0
i	玘		qi3			0
ui	殨		hui4			0
e	戹		e1			0
ui	巜		kui4			0
au	髞		sau4			0
ai	靫		chai1			0
a	靫		cha1			0
au	裪		tau2			0
i	呭		yi4			0
i	痬		yi1			0
au	鐈		qau2			0
ing	圊		cing1			0
ang	甞		chang2			0
e	辥		sie1			0
u	娬		wu3			0
eng	倰		leng2			0
eng	倰		leng4			0
iu	録		liu1			0
ou	瑈		rhou2			0
an	橌		xan4			0
ui	彚		wui4			0
u	鉜		fu2			0
in	濥		yin3			0
in	濥		yin4			0
iun	韵		yun4			0
u	趎		chu2			0
an	騗		pian4			0
au	撨		siau1			0
au	撨		ciau2			0
iu	骬		yu2			0
en	侺		shen4			0
ing	篂		sing1			0
ou	齅		xou4			0
ing	譍		ying4			0
ung	勜		wung3			0
ang	臦		guang4			0
i	聻		ni3			0
o	纅		yuo1			0
u	鼄		zhu1			0
o	謌		geo1			0
u	悑		pu4			0
an	昪		bian4			0
an	踺		jan4			0
o	枿		eo1			0
o	廅		eo1			0
e	杔		zhe1			0
eng	塖		cheng2			0
ui	擩		rhui2			0
ou	擩		nou4			0
u	擩		rhu3			0
u	擩		rhu4			0
u	苽		gu1			0
ai	喈		jai1			0
i	貎		yi2			0
ai	稭		jai1			0
a	稭		ja1			0
u	鮬		ku1			0
u	鮬		bu4			0
i	瀱		ji4			0
i	鞴		bi4			0
u	鞴		fu2			0
u	鞴		bu4			0
au	竂		liau2			0
e	泎		zhe2			0
iung	煛		jung3			0
ou	叜		sou3			0
ang	篬		ciang1			0
ing	矴		ding4			0
u	箁		pu2			0
o	騀		eo3			0
y	夂		zhy3			0
ui	鰄		wui1			0
e	咟		hue2			0
en	眞		zhen1			0
an	粯		xan4			0
u	吴		wu2			0
eng	峯		feng1			0
i	迹		zi1			0
an	臽		kan3			0
an	臽		xan4			0
iu	媀		yu4			0
i	躸		ji1			0
o	愽		buo1			0
eng	僜		cheng1			0
eng	僜		deng4			0
in	菦		jin3			0
e	鱯		hue2			0
u	鱯		hu4			0
e	艻		le1			0
i	葿		mi2			0
i	鬀		di4			0
i	鬀		ti4			0
iu	侣		liu3			0
e	栢		be1			0
ang	唴		qang4			0
o	榷		juo1			0
a	谺		xa1			0
eng	睈		cheng3			0
ou	屚		lou4			0
an	噞		yan3			0
an	噞		yan4			0
ang	繮		jang1			0
an	宀		mian2			0
au	焇		siau1			0
an	倝		gan4			0
eng	辸		rheng2			0
ung	鱅		chung2			0
iung	鱅		yung2			0
en	魫		shen3			0
an	鰀		huan4			0
ing	掕		ling2			0
iun	帬		qun2			0
e	餮		tie1			0
o	刴		duo4			0
i	巁		li4			0
ang	凉		liang2			0
an	湌		can1			0
ing	胓		ping2			0
u	豠		chu2			0
ang	詤		huang3			0
au	嫯		au2			0
au	嫯		au4			0
ing	睲		sing3			0
ing	睲		sing4			0
o	歺		eo1			0
ung	瘇		shung4			0
an	覎		yan4			0
ang	噇		chuang2			0
a	痆		na1			0
au	晧		hau4			0
e	蹷		jue2			0
an	葻		lan2			0
ui	鄈		kui2			0
an	喛		xuan1			0
an	喛		huan4			0
au	隝		diau3			0
an	綫		sian4			0
i	弬		yi2			0
ui	頮		hui4			0
en	敐		chen2			0
en	敐		zhen3			0
an	腨		shuan4			0
ang	恾		mang2			0
au	鼗		tau2			0
o	嚲		duo3			0
i	奃		di1			0
eng	憕		cheng2			0
u	嚛		hu1			0
ing	閝		ling2			0
an	辡		bian3			0
an	辡		bian4			0
iun	愪		yun2			0
iun	愪		yun3			0
au	碯		nau3			0
au	犳		yau1			0
o	犳		zhuo1			0
e	褺		die2			0
ou	髃		ou3			0
iu	髃		yu2			0
ai	晐		gai1			0
o	驘		luo2			0
o	畲		sheo1			0
o	捾		wo1			0
e	墄		ce1			0
an	薒		can4			0
ung	紭		hung2			0
e	矆		xue1			0
in	癛		lin3			0
ang	駚		ang3			0
ang	駚		yang3			0
an	仠		gan3			0
a	餄		ja1			0
e	蜐		je1			0
y	冟		shy1			0
o	袥		tuo1			0
ang	羫		qang1			0
o	菓		guo3			0
au	幖		biau1			0
an	棥		fan2			0
ang	諹		yang2			0
ang	諹		yang4			0
iu	誎		ciu1			0
ing	霛		ling2			0
an	糂		san3			0
i	啇		di1			0
au	佋		chau2			0
au	佋		shau4			0
ang	櫎		huang4			0
an	甎		zhuan1			0
a	妑		pa1			0
an	覱		zhan4			0
a	栰		fa2			0
o	辵		chuo1			0
au	庿		miau4			0
ui	轊		sui4			0
ui	轊		wui4			0
u	塐		su4			0
o	浞		zhuo2			0
u	祦		wu2			0
iung	巩		jung3			0
a	坺		fa2			0
o	坺		buo2			0
a	嘏		ja3			0
iu	欝		yu1			0
o	趞		ciuo1			0
a	耫		zha2			0
e	耫		zhe2			0
iu	唹		yu1			0
a	灋		fa1			0
an	癏		guan1			0
au	藮		ciau2			0
a	嫼		ya1			0
an	讇		chan3			0
in	澟		lin3			0
ing	刢		ling2			0
ai	堦		jai1			0
en	帪		zhen1			0
ang	漴		shuang4			0
ui	骽		tui3			0
e	曅		ye1			0
ung	衆		zhung1			0
ung	衆		zhung4			0
au	狍		pau2			0
y	恖		sy1			0
o	硦		luo1			0
o	峩		eo2			0
u	珷		wu3			0
o	搙		nuo1			0
ou	搙		nou4			0
u	搙		nu1			0
an	麪		mian4			0
ang	蜯		bang4			0
o	丵		zhuo2			0
an	炶		han2			0
au	餻		gau1			0
u	娽		lu1			0
iu	娽		liu1			0
u	詝		zhu3			0
u	遡		su4			0
en	矤		shen3			0
au	嗸		au2			0
ing	穽		zing4			0
y	眎		shy4			0
iu	鈠		yu1			0
e	皣		ye1			0
u	崪		zu2			0
ui	膭		gui1			0
ui	膭		hui4			0
y	燍		sy1			0
o	敚		duo2			0
ung	忩		cung1			0
y	卶		chy4			0
y	卶		shy4			0
ang	啺		tang2			0
a	帓		ma1			0
a	咤		zha1			0
a	咤		zha4			0
i	逷		ti1			0
ang	騻		shuang1			0
iun	夽		yun3			0
o	噣		zhuo1			0
ou	噣		dou4			0
ou	噣		zhou4			0
u	噣		zhu1			0
au	齩		yau3			0
an	蟮		shan4			0
ung	歱		zhung3			0
a	覇		ba4			0
a	鎋		xa2			0
en	瘎		chen2			0
ung	龓		lung2			0
ung	龓		lung3			0
in	憗		yin4			0
e	誱		zie2			0
iu	欰		siu1			0
i	礼		li3			0
ui	嵔		wui1			0
ui	嵔		wui3			0
au	勡		piau4			0
ou	腬		rhou2			0
ou	腬		niou4			0
an	剶		ziuan1			0
an	剶		chuan1			0
a	鰕		xa2			0
ung	喤		hung1			0
ung	喤		hung2			0
o	楇		guo1			0
au	獋		hau2			0
au	鷔		au2			0
au	鷔		au4			0
ang	坣		tang2			0
i	垍		ji4			0
ang	嶑		siang4			0
an	圢		tian3			0
ing	圢		ting3			0
an	瀸		zian1			0
i	岻		di1			0
y	岻		chy2			0
eng	噌		cheng1			0
iu	緑		liu1			0
ui	婔		wui2			0
an	賛		zan4			0
ang	蔁		zhang1			0
i	刏		ji1			0
i	刏		qi2			0
ui	刏		gui4			0
o	愙		keo1			0
i	咠		ci1			0
i	咠		zi1			0
in	劤		jin4			0
e	弽		xe1			0
o	弽		sheo1			0
ou	煹		gou4			0
u	娪		wu2			0
i	蚭		ni2			0
i	貱		bi4			0
an	垷		jan3			0
an	垷		xan4			0
u	焸		gu3			0
u	虂		lu4			0
an	担		dan3			0
i	摖		ci4			0
ang	勥		qang2			0
ang	勥		jang4			0
u	齼		chu3			0
ang	鰑		yang2			0
ui	綐		dui4			0
en	蒖		zhen1			0
ung	喠		chung3			0
ung	喠		zhung3			0
u	悮		wu4			0
ang	慃		yang3			0
an	僎		shuan4			0
iun	僎		ziun1			0
ing	聙		zing1			0
au	珤		bau3			0
o	秨		zuo2			0
u	秨		zu4			0
ou	晭		zhou3			0
ang	胮		pang1			0
ang	胮		pang2			0
u	軲		ku1			0
a	灹		zha4			0
ang	忼		hang1			0
ang	忼		kang3			0
ui	攂		lui4			0
i	猎		zi2			0
an	舘		guan4			0
eng	蕂		sheng4			0
ui	襊		cui4			0
o	襊		cuo1			0
eng	幐		teng2			0
eng	幐		deng4			0
e	鋣		ye2			0
u	蹰		chu2			0
ui	謉		dui3			0
ui	謉		gui4			0
an	檈		siuan2			0
iun	檈		siun1			0
u	碔		wu3			0
i	眡		di1			0
y	眡		shy4			0
an	関		guan1			0
ou	媨		ziou4			0
an	蘫		lan2			0
an	蘫		han4			0
i	伱		ni3			0
iu	俆		siu2			0
i	盠		li2			0
i	盠		li3			0
ang	敭		yang2			0
u	獹		lu2			0
an	鯾		bian1			0
in	吢		cin4			0
en	袵		rhen3			0
i	猸		mi2			0
i	曁		ji1			0
i	曁		ji4			0
ang	啌		xang1			0
i	彐		ji4			0
i	鷧		yi4			0
ang	繦		jang3			0
ung	鵼		kung1			0
u	秿		bu1			0
u	秿		fu1			0
u	秿		fu4			0
an	頕		dan1			0
o	瀥		xuo1			0
un	蜫		gun1			0
o	沲		tuo2			0
a	刹		cha1			0
an	苮		sian1			0
o	俰		huo4			0
au	賲		bau3			0
an	芇		man2			0
an	芇		mian2			0
an	芇		mian3			0
iun	麏		jun1			0
ung	樬		cung1			0
ang	亯		xang3			0
au	篍		ciau1			0
au	篍		ciau4			0
ou	篍		ciou1			0
o	鵎		tuo3			0
an	偐		yan4			0
ang	彺		wang2			0
in	盿		min2			0
an	皔		han4			0
an	醦		shan3			0
en	醦		chen3			0
y	軄		zhy1			0
ang	蓈		lang2			0
ai	硋		ai4			0
an	繏		siuan4			0
au	巎		nau2			0
o	叒		rhuo1			0
e	趃		die2			0
o	龏		yuo1			0
iung	龏		jung4			0
au	爒		liau3			0
iun	玧		yun3			0
ai	嘪		mai3			0
en	宷		shen3			0
o	棁		tuo1			0
u	棁		tu1			0
au	幺		yau1			0
iun	夋		ciun1			0
o	抲		heo1			0
i	豙		yi4			0
ai	顡		chuai4			0
i	顡		yi4			0
ui	顡		wui3			0
ang	嵣		dang4			0
an	晵		qan4			0
i	晵		qi3			0
i	巸		yi2			0
i	躃		bi2			0
o	挆		duo3			0
i	攊		li1			0
au	抛		pau1			0
au	抛		pau4			0
eng	唪		beng4			0
eng	唪		feng4			0
ui	毁		hui3			0
ui	毁		hui4			0
ing	荆		jing1			0
au	娋		shau1			0
au	娋		shau4			0
ui	錑		lui4			0
eng	亘		geng4			0
o	媠		duo4			0
o	媠		tuo3			0
ung	嚨	咙	lung2			0
u	箶		hu2			0
an	腝		rhuan3			0
au	腝		nau4			0
un	腝		nun4			0
an	糤		san3			0
u	盨		shu3			0
un	鯶		hun4			0
ou	鮋		you2			0
ou	鮋		chou2			0
ing	鞓		ting1			0
iun	羣		qun2			0
au	堢		bau3			0
ung	鴤		zhung1			0
eng	挰		cheng2			0
i	蒵		xi2			0
i	蒵		xi4			0
o	攴		puo1			0
u	攴		pu1			0
y	妷		zhy2			0
au	喿		sau4			0
ang	艆		lang2			0
u	汚		wu1			0
iun	囩		yun2			0
u	荰		du4			0
iu	伃		yu2			0
a	玐		ba1			0
u	稡		zu1			0
a	帹		sha1			0
iun	僒		jun4			0
eng	懜		meng2			0
eng	懜		meng4			0
ang	驡		zang3			0
iung	驡		liung2			0
un	彣		wun2			0
e	緤		sie1			0
in	撛		lin3			0
in	撛		lin4			0
au	鰠		sau1			0
ai	逨		lai2			0
ai	逨		lai4			0
au	鞽		qau1			0
e	淁		cie1			0
e	呐		niue1			0
i	珕		li4			0
e	浖		liue1			0
i	兾		ji4			0
ai	贁		bai4			0
e	脉		me1			0
i	犔		xi4			0
e	籋		nie1			0
an	灓		luan2			0
an	灓		liuan4			0
an	灓		luan4			0
eng	乗		cheng2			0
eng	乗		sheng4			0
e	魥		qe1			0
o	魥		eo1			0
ai	噧		xai4			0
a	噧		ta1			0
e	釾		ye2			0
ing	鮏		sing1			0
un	瘒		wun2			0
y	劕		zhy1			0
an	隽		ziuan4			0
ui	陒		gui3			0
au	狕		yau3			0
u	瑦		wu1			0
u	瑦		wu3			0
un	蕰		wun1			0
iun	蕰		yun3			0
iun	蕰		yun4			0
ou	訅		qou2			0
e	貖		e1			0
ang	栙		xang2			0
ing	麢		ling2			0
an	嘽		tan1			0
an	嘽		chan3			0
e	跀		yue1			0
o	楃		yuo1			0
a	臈		la1			0
e	鱡		ze2			0
ung	奣		wung3			0
an	姸		yan2			0
y	垑		chy3			0
ui	螱		wui4			0
u	稸		chu1			0
iu	稸		xu1			0
au	嚻		xau1			0
u	乀		fu1			0
e	槅		ge1			0
o	偔		eo1			0
u	胟		mu3			0
ou	梄		you3			0
y	帋		zhy3			0
ui	欙		lui2			0
ai	墤		kuai4			0
ui	墤		tui2			0
ing	嬹		xing4			0
a	橃		fa2			0
i	橃		fi4			0
au	摇		yau2			0
au	摇		yau4			0
an	硏		yan2			0
u	雐		hu1			0
a	嗒		da1			0
a	嗒		ta1			0
ui	櫘		sui4			0
in	磤		yin3			0
an	讃		zan4			0
an	餤		tan2			0
a	垻		ba4			0
y	佀		sy4			0
ing	棅		bing4			0
y	糍		cy2			0
e	烕		xue1			0
eng	赬		cheng1			0
ui	槯		cui2			0
ui	蝰		kui1			0
ou	剾		kou1			0
ou	剾		ou1			0
ing	踁		xing4			0
o	瞐		muo1			0
u	厨		chu2			0
ai	輫		pai2			0
ei	輫		pei2			0
an	迀		gan1			0
an	旜		zhan1			0
e	嗼		me1			0
o	嗼		muo1			0
e	蚏		yue1			0
an	儖		lan2			0
o	耠		heo2			0
ung	檧		sung1			0
en	鎭		zhen1			0
en	鎭		zhen4			0
en	搸		zhen1			0
au	矅		yau4			0
i	饆		bi1			0
eng	嗙		beng1			0
o	糳		zuo1			0
iun	醖		yun3			0
iun	醖		yun4			0
u	逫		zhu1			0
an	箲		sian3			0
a	涾		da2			0
u	郀		ku1			0
un	瑃		chun1			0
ou	汓		siou2			0
an	剗		chan3			0
e	魝		je1			0
an	勬		juan1			0
an	勬		juan4			0
in	廴		yin3			0
an	臶		zian4			0
un	臶		zun4			0
ou	傁		sou3			0
i	樒		mi1			0
an	鬜		qan1			0
au	尞		liau4			0
an	脠		chan1			0
an	脠		shan1			0
ou	斣		dou4			0
o	个		geo4			0
ou	坄		tou2			0
iu	坄		yu1			0
ung	糉		zung4			0
an	嵈		huan4			0
iu	籞		yu3			0
an	燫		lian2			0
an	湪		tuan4			0
an	邖		shan1			0
iu	琙		yu1			0
ang	隚		tang2			0
a	袦		na1			0
an	帵		wan1			0
y	牭		sy4			0
an	姰		xuan4			0
iun	姰		siun1			0
au	胶		xau2			0
iu	喅		yu1			0
in	唚		cin4			0
en	弞		shen3			0
in	弞		yin3			0
en	獖		ben4			0
u	遬		su1			0
y	虸		zy3			0
en	泿		en2			0
in	泿		yin2			0
ing	璄		ying3			0
ou	嚘		you1			0
o	鐯		zhuo1			0
an	嬱		cian4			0
a	澾		ta1			0
au	硇		nau2			0
ing	巊		ying3			0
ung	摏		shung1			0
an	諐		qan1			0
in	賔		bin1			0
e	屟		sie1			0
ou	咅		tou4			0
o	餜		guo3			0
e	帞		me1			0
an	輨		guan3			0
iu	邭		ju4			0
i	紴		pi3			0
o	紴		buo1			0
ang	塲		shang1			0
e	鐅		pie1			0
u	殐		su1			0
e	妜		yue1			0
ang	麞		zhang1			0
un	温		wun1			0
ai	尵		chuai2			0
ui	尵		tui2			0
au	闄		yau3			0
iu	跔		ju1			0
un	陙		chun2			0
ui	嵟		dui1			0
in	㻞		bin1			0
iung	喁		yung2			0
y	眂		chy2			0
y	眂		shy4			0
an	妉		dan1			0
iu	鸜		qu2			0
an	稴		xan2			0
an	稴		lian3			0
an	稴		lian4			0
iu	魊		yu1			0
a	畖		wa1			0
o	凙		duo2			0
y	彲		chy1			0
au	倃		gau1			0
ou	倃		jou4			0
e	帇		nie1			0
in	碈		min2			0
an	贑		gan3			0
u	鈯		du2			0
au	熮		liau2			0
au	熮		liau4			0
ou	熮		liou3			0
ou	扏		qou2			0
un	俒		hun2			0
un	俒		hun4			0
a	瘂		ya3			0
i	渒		bi1			0
i	渒		pi4			0
iun	箟		qun1			0
o	褨		suo3			0
a	啀		ya2			0
au	聎		tiau1			0
an	櫕		cuan2			0
an	瑖		duan4			0
ang	僙		guang1			0
ung	鯟		dung1			0
o	秳		huo2			0
an	貦		wan4			0
ing	餳	饧	sing2			0
i	丽		li4			0
un	罇		zun1			0
u	无		mu2			0
u	无		wu2			0
ou	郮		zhou1			0
in	寴		cin1			0
in	寴		cin4			0
ui	内		nui4			0
e	礊		ke1			0
e	礊		hue1			0
en	嚫		chen4			0
u	戸		hu4			0
ang	趽		fang1			0
ang	趽		pang2			0
ang	趽		fang4			0
an	偄		nuan4			0
an	偄		rhuan3			0
an	饊		san3			0
i	豼		pi2			0
i	棿		yi2			0
ang	皀		xang1			0
i	皀		bi1			0
i	皀		ji1			0
ung	鬉		zung1			0
au	欩		chau1			0
i	唭		qi4			0
an	夵		yan3			0
e	牃		die2			0
au	嗂		yau2			0
ang	髈		pang2			0
ang	髈		pang3			0
an	軐		sian4			0
an	罱		lan3			0
an	琂		yan2			0
ou	螋		shou1			0
u	螋		shu1			0
ang	砊		kang4			0
eng	砊		keng1			0
e	氒		jue1			0
y	鴜		cy2			0
u	麱		fu1			0
au	颵		shau1			0
o	侻		tuo1			0
ung	竉		lung3			0
ai	匃		gai4			0
o	匃		geo1			0
u	隖		wu3			0
o	犮		buo2			0
au	褿		cau2			0
iung	檾		qung3			0
ui	廆		hui4			0
an	啗	啖	dan4			0
en	鱝		fen4			0
an	緜		mian2			0
u	柠		chu3			0
iu	聥		ju3			0
iu	聥		yu3			0
un	蒓		chun2			0
e	挒		lie1			0
e	皟		che1			0
y	抧		zhy3			0
an	稬		nuan3			0
an	稬		nuan4			0
o	稬		nuo4			0
u	庯		bu1			0
a	鞵		xa2			0
au	戼		mau3			0
u	髗		lu2			0
u	畞		mu3			0
iung	磫		ziung1			0
u	瓳		hu2			0
en	餁		rhen3			0
i	悐		ti1			0
a	劜		ya1			0
en	訷		shen1			0
ang	榶		tang2			0
iu	鍝		yu2			0
ing	噟		ying4			0
in	轥		lin4			0
e	擨		ye2			0
ai	睵		cai1			0
ai	睵		zai1			0
ang	咉		ang1			0
ang	咉		ang3			0
en	薓		shen1			0
e	錜		nie1			0
ou	褠		gou1			0
i	隵		xi1			0
an	瓉		zan4			0
i	疈		pi1			0
ai	訍		chai4			0
an	嶘		shan4			0
e	搩		je2			0
un	餫		hun2			0
iun	餫		yun4			0
ang	粮		liang2			0
un	倱		hun4			0
au	嘵	哓	xau1			0
an	僆		lian3			0
an	僆		lian4			0
au	嶅		au2			0
i	猆		fi1			0
ou	甊		lou3			0
ang	鸘		shuang1			0
an	圞		luan2			0
en	訠		shen3			0
au	蘨		yau2			0
ou	蘨		you2			0
u	嚳	喾	ku1			0
iu	噈		ziu1			0
e	揑		nie1			0
in	捦		qin2			0
u	顬		rhu2			0
an	褍		duan1			0
o	褍		duo3			0
un	抐		nun4			0
u	抐		nu1			0
a	庘		ya1			0
an	唵		an3			0
u	伹		zu4			0
iu	伹		ciu1			0
an	姂		fan4			0
a	姂		fa2			0
?	姂		?			0
ung	嗊		hung3			0
ang	譡		dang4			0
i	赥		xi1			0
y	泤		sy4			0
in	獱		pin2			0
ang	哴		lang2			0
ang	哴		liang4			0
au	仸		yau3			0
i	慽		ci1			0
ui	媁		wui1			0
ui	媁		wui3			0
a	趏		qa1			0
a	趏		gua1			0
en	愼		shen4			0
ang	摪		ziang1			0
u	旿		wu3			0
i	弃		qi4			0
o	昩		muo1			0
iung	霳		liung2			0
ui	蔿		wui3			0
i	鷄		ji1			0
a	韈		wa1			0
iu	哊		yu1			0
iung	从		ciung2			0
u	菐		fu1			0
u	菐		bu2			0
an	卛		juan4			0
iu	璛		siu1			0
u	縬		zhu1			0
iu	縬		ziu1			0
an	篅		chuan2			0
ui	篅		chui2			0
an	襎		fan2			0
un	黗		tun1			0
un	黗		tun3			0
an	埝		dian4			0
ang	蛧		wang3			0
an	糫		huan2			0
ai	衸		jai4			0
ai	衸		xai4			0
iu	炈		yu1			0
i	嚜		mi4			0
a	辢		la1			0
ang	騯		pang2			0
eng	騯		beng1			0
eng	騯		peng2			0
iu	逳		yu1			0
u	匵		du2			0
o	涶		tuo1			0
o	涶		tuo4			0
iu	忂		qu2			0
au	哰		lau2			0
an	媅		dan1			0
ou	疛		zhou3			0
ou	疛		zhou4			0
e	嶫		ye1			0
e	决		jue1			0
y	佌		cy3			0
o	拕		tuo1			0
o	拕		duo4			0
ung	緫		zung3			0
ai	噲	哙	kuai4			0
an	鍴		duan1			0
an	襸		cuan2			0
an	襸		zan4			0
iun	圇	囵	liun2			0
a	躢		da2			0
i	芪		qi2			0
y	鷀		zy1			0
